Direct contribution to employment,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Thousands of jobs,104.344,106.866,97.6786,98.8338,101.804,88.6884,84.4929,104.469,110.232,117.186,124.287,141.667,165.627,146.082,119.037,114.203,119.711,112.996,109.948,111.949,107.204,116.868,111.497,108.558,113.753,109.216,114.425,116.221,117.098,119.407,121.074,122.453,124.437,127.354,130.482,134.588,138.902,143.374
Percentage share,2.78529,2.80932,2.54024,2.56212,2.64238,2.31683,2.21679,2.6972,2.83885,2.99747,3.12415,3.51247,4.02618,3.50294,2.85975,2.74511,2.8501,2.65234,2.55247,2.55678,2.40488,2.62698,2.48933,2.39021,2.49718,2.40432,2.50961,2.53796,2.53696,2.56788,2.59147,2.61031,2.64224,2.69465,2.75205,2.82987,2.91246,2.99809
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,13.6386,14.8355,13.3581,14.5303,13.3639,12.4107,11.9415,6.41628,5.61669,3.8626,16.8799,14.7455,13.2438,14.0308,16.2507,15.9256,16.7855,17.0474,17.5503,18.442,19.1135,17.2383,15.51,19.8787,18.7637,20.4316,20.4685,20.9789,22.4181,23.2504,23.8691,24.3137,24.6909,24.9466,25.0627,25.1718,25.4075,25.6559
Percentage share,1.67474,1.81395,1.67088,1.89623,1.85297,1.83727,1.859,1.01181,0.868433,0.590202,2.51538,2.22108,1.97945,2.10411,2.46738,2.47378,2.69521,2.80131,2.89848,2.88759,2.7397,2.59496,2.37585,3.02586,2.87766,3.00644,3.02698,3.05632,3.20196,3.28796,3.36872,3.42821,3.47806,3.52997,3.57529,3.63061,3.70566,3.78428
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,51.8937,53.2128,88.2067,129.069,87.5005,71.1451,72.9983,59.1664,85.3452,73.5585,93.1932,97.3828,104.664,125.88,123.782,179.464,194.583,184.05,180.707,120.577,116.87,111.681,107.545,99.0266,97.1159,100.031,103.177,104.061,106.652,108.815,111.166,112.682,113.908,115.173,116.871,118.4,120.137,121.064
Percentage share,1.09016,1.11787,1.65667,2.71049,2.17665,2.07094,2.3586,2.06244,2.46718,2.23512,2.93958,3.17503,3.74515,4.65747,4.51582,6.33085,6.65787,6.17219,5.81052,3.70709,3.47755,3.4325,3.52279,3.33965,3.31007,3.40828,3.44853,3.46493,3.55994,3.63976,3.72725,3.78609,3.85955,3.9436,4.04465,4.13907,4.24026,4.31471
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,113.417,118.31,127.553,115.977,140.866,106.75,107.963,97.4168,105.054,105.952,113.853,109.351,103.48,118.839,111.785,159.532,146.486,150.522,150.505,148.997,160.246,135.995,139.156,135.534,139.16,136.282,139.328,144.903,146.619,150.092,154.772,157.395,158.735,160.799,163.457,165.877,169.329,172.894
Percentage share,8.72436,9.10076,9.81175,8.90079,12.3784,9.63444,10.166,9.48557,10.3808,10.6377,10.7409,10.2967,10.0174,11.482,10.6523,14.8706,13.3582,13.4792,13.2475,12.9192,13.6881,11.8162,12.8321,12.5646,13.2187,13.1312,13.5571,13.7797,13.8466,14.051,14.2763,14.406,14.5297,14.764,15.0759,15.3858,15.8109,16.2855
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,23.2273,27.2491,29.3506,24.5271,30.5648,30.1964,33.0739,29.1372,27.6384,28.6562,28.2565,32.0289,36.8033,39.1406,36.2896,31.8862,30.7758,30.9982,30.1761,30.9317,28.1361,23.516,24.1833,25.1653,26.907,28.7726,27.9731,27.7474,28.3075,28.5613,28.6828,28.6133,28.2789,28.0355,28.2527,28.4694,28.749,29.1953
Percentage share,10.482,12.0167,12.5737,10.3326,12.8338,12.352,13.0694,11.1622,10.5182,10.8199,10.555,11.3216,12.4435,12.6423,11.4424,9.71769,9.13126,8.90626,8.4456,8.18352,7.34912,6.14114,6.11849,6.31975,6.98476,7.88128,7.67178,7.60001,7.73597,7.66504,7.53659,7.36492,7.16133,7.00229,6.97786,6.96488,7.00799,7.12013
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,346.51,210.118,189.765,212.673,226.615,247.903,244.284,223.907,248.285,253.914,250.045,226.446,264.15,253.353,244.992,236.991,225.565,248.615,259.164,262.991,264.639,259.365,261.31,241.962,237.357,241.655,242.052,253.695,268.688,276.779,283.341,287.708,290.75,293.507,294.623,294.759,294.368,293.888
Percentage share,6.41901,3.89014,3.51297,4.36383,4.59966,5.08663,4.95821,4.51196,4.99372,5.14376,5.13916,4.75316,5.58247,5.35891,5.14184,5.00709,4.79257,5.21869,5.36799,5.34367,5.29083,5.25672,5.34904,4.96581,4.85368,4.89465,4.86604,5.04582,5.31168,5.45597,5.58556,5.67678,5.74079,5.79255,5.81511,5.82414,5.82412,5.82234
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,73.8045,76.3056,77.3818,83.9578,82.343,82.7676,81.7356,79.6944,85.5988,87.9357,89.5125,89.6792,96.5841,91.6256,84.7008,79.1726,81.2447,82.4944,83.1526,79.5312,77.6529,77.4064,74.2829,74.2551,73.4074,73.5248,74.5102,74.9187,75.5084,76.4764,77.8957,79.4158,80.693,82.0547,83.4513,84.7254,85.9692,86.9426
Percentage share,2.79256,2.90724,2.97066,3.24108,3.20739,3.27237,3.24505,3.07068,3.26221,3.28636,3.32925,3.3148,3.5554,3.36767,3.12525,2.94202,2.98877,3.02089,2.98638,2.88047,2.76353,2.83882,2.79703,2.80742,2.79865,2.80257,2.83357,2.85348,2.85343,2.87074,2.90881,2.94685,2.98091,3.0191,3.05648,3.09235,3.13035,3.16148
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0.107579,0.85195,2.24305,4.25834,13.7489,19.6989,15.4684,26.6352,24.8184,23.1302,24.2755,26.7778,27.0724,25.9384,25.5806,23.9035,24.8715,25.2946,24.8544,20.5855,22.1019,21.3912,20.2103,21.6093,20.9451,21.6794,22.4784,21.6601,22.6356,23.1996,23.4633,23.1163,22.8878,22.7264,22.6821,22.7278,22.8395,22.9708
Percentage share,0.01,0.104666,0.275092,0.544437,1.82279,2.76285,2.24953,4.05319,3.8818,3.6859,3.86141,4.3899,4.61545,4.40063,4.34183,3.96478,4.12937,4.10677,3.81485,3.13066,3.37138,3.60305,3.5598,3.58637,3.40506,3.48673,3.60072,3.45902,3.60758,3.69748,3.74324,3.69527,3.66608,3.64752,3.64771,3.66312,3.69093,3.73035
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,42.1529,43.3003,42.6876,46.4187,50.4803,54.5947,54.6478,51.1746,59.6193,61.964,66.0551,70.136,75.3978,69.5349,66.5385,62.9139,59.8521,58.4661,57.673,60.2966,56.1822,52.816,51.3477,51.5538,52.9479,54.186,54.1363,56.5103,59.6209,61.8079,63.8583,65.2723,66.4899,67.5737,68.7871,70.9845,72.8847,74.7782
Percentage share,1.70612,1.7363,1.72093,1.98303,2.31987,2.66823,2.70842,2.49195,2.86219,2.87603,3.00989,3.11812,3.28059,2.98228,2.82314,2.66562,2.52158,2.42537,2.34959,2.40523,2.1923,2.1118,2.0673,2.04944,2.08654,2.16787,2.17452,2.26938,2.38011,2.45016,2.51317,2.55334,2.58865,2.62543,2.66954,2.75301,2.82592,2.8974
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,849.765,897.986,847.183,874.388,900.685,931.379,942.488,945.875,967.956,1033.32,1065.2,1161.72,1249.28,1224.29,1182.43,1124.95,1104.06,1083.28,1107.5,1128.6,1146.35,1119.38,1095.69,1162.18,1158.36,1142.11,1132.61,1155.76,1178.71,1198.41,1214.81,1234.32,1252.53,1273.82,1296.76,1324.72,1343.62,1370.76
Percentage share,3.61431,3.75484,3.5163,3.64372,3.77515,3.96456,3.96616,3.94628,4.03807,4.26834,4.30444,4.59541,4.80184,4.64207,4.47139,4.26239,4.1677,4.0557,4.09414,4.10339,4.17805,4.14928,4.02449,4.23059,4.21679,4.16503,4.13638,4.22176,4.29614,4.35565,4.40396,4.46394,4.52028,4.58922,4.66443,4.75748,4.81777,4.90406
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0,0,0,0,0,0,0,0,0,33.2601,61.7821,59.6617,66.9823,99.4342,95.9045,82.2384,74.325,56.9993,65.0338,51.1086,42.9059,51.7947,55.9254,63.7897,78.907,83.1962,84.9645,84.6287,84.9787,86.3861,89.1056,90.2069,91.3305,92.4634,93.7233,94.983,96.5918,98.807
Percentage share,0,0,0,0,0,0,5.7383,2.95257,2.52967,1.79979,3.57328,3.52194,3.64629,5.29469,5.21504,4.53104,4.16854,3.26643,3.7226,2.99933,2.67827,3.1277,3.43522,3.83352,4.57697,4.85959,4.78012,4.73604,4.77849,4.8811,5.0592,5.14672,5.23637,5.3323,5.43672,5.54233,5.66972,5.83424
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2600.78,2642.82,2485.78,2433.58,2678.78,2763.33,2713.33,2607.06,2658.45,2785.19,2836.91,2963.01,3137.29,3173.72,3036.65,2839.07,2848.75,2896.24,2919.22,2770.73,2693.71,2800.35,2849.25,2818.63,2885.54,2825.18,2841.94,2903.45,2949.24,2979.77,3020.69,3039.34,3045.89,3065.47,3070.98,3074.35,3092.16,3093.86
Percentage share,7.10043,7.08239,6.45698,6.27369,6.99735,7.31329,7.17912,6.86886,7.002,7.34001,7.38673,7.59181,7.85952,7.97251,7.66264,7.24284,7.24219,7.36479,7.36544,6.87083,6.59295,6.84775,6.94596,6.78045,6.86489,6.68191,6.66268,6.78613,6.89023,6.96163,7.0603,7.11012,7.13383,7.19154,7.22214,7.2576,7.33369,7.3686
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,305.25,301.131,293.002,288.059,297.765,288.143,296.179,318.728,311.838,313.376,335.179,340.791,347.648,341.711,340.972,327.657,325.869,360.979,371.007,365.463,361.597,331.995,343.819,329.682,307.673,321.959,340.31,353.141,360.388,369.304,376.798,383.765,392.995,404.215,414.757,426.751,437.213,445.564
Percentage share,8.47681,8.37172,8.01208,7.84688,8.00664,7.93344,8.03743,8.56801,8.22792,8.19499,8.34218,8.45345,8.50312,8.36237,8.16549,7.66535,7.55527,8.2646,8.33408,8.11148,7.93735,7.35967,7.82813,8.05501,8.16834,8.99169,9.41029,9.54731,9.56435,9.60255,9.61304,9.6219,9.69884,9.8328,9.96207,10.1377,10.2912,10.4199
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,121.646,107.898,154.074,137.69,139.313,120.674,129.231,180.091,203.675,218.197,200.477,182.743,304.797,297.524,245.064,229.145,211.267,226.125,227.243,220.928,234.319,240.074,238.087,244.898,239.571,219.916,237.436,249.618,265.957,278.332,280.894,287.448,291.228,296.279,300.387,305.167,311.388,318.343
Percentage share,2.9909,2.6637,3.80884,3.40034,3.42947,2.95685,3.12355,4.49155,5.07531,5.42718,4.90965,4.35458,7.19199,7.03113,5.79694,5.41991,5.04507,5.41662,5.42016,5.23415,5.6532,5.93933,5.84162,5.9878,5.85604,5.35314,5.59626,5.83186,6.22622,6.52849,6.60309,6.78153,6.89879,7.03182,7.13646,7.25255,7.39783,7.56533
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,5.01225,5.15345,4.41237,4.50831,4.47899,4.9232,5.05394,6.13822,6.75926,6.55676,6.63147,6.81597,7.11525,7.18803,7.34757,6.59377,6.22832,6.47298,6.95378,7.57049,8.34143,7.88464,7.40586,7.90806,8.97023,9.32431,10.3151,10.2478,10.3153,10.2313,10.2885,10.3881,10.7189,11.1356,11.5826,12.05,12.5088,13.0217
Percentage share,3.72763,3.84776,3.25586,3.29314,3.27172,3.6041,3.67026,4.32878,4.76004,4.61743,4.48375,4.44616,4.54939,4.52077,4.68894,4.20253,3.98995,4.01301,4.1001,4.27228,4.65741,4.69324,4.42405,4.72405,5.30469,5.33122,5.81316,5.71949,5.69785,5.59183,5.57798,5.59235,5.7301,5.93216,6.14886,6.37492,6.59483,6.8416
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,29.8543,31.5352,28.7673,29.1965,28.5135,27.178,28.4116,26.5721,27.2199,28.6676,33.0064,34.6246,39.3006,37.368,33.2078,32.8586,33.7755,35.8614,37.6108,39.2072,39.2283,38.1924,37.2145,38.3806,38.7668,40.3646,40.6647,41.0359,42.6558,43.7914,44.9412,45.9066,46.9194,48.2472,49.6228,51.1024,52.6876,54.4328
Percentage share,2.63639,2.78437,2.4327,2.47482,2.40412,2.25725,2.28574,2.03764,2.00858,2.03086,2.16361,2.131,2.31493,2.13562,1.86896,1.81509,1.80507,1.82715,1.83157,1.82951,1.843,1.94725,1.97729,2.076,2.10964,2.14619,2.12741,2.13351,2.2039,2.24748,2.28479,2.30494,2.32147,2.35254,2.38503,2.42152,2.46394,2.52153
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,905.168,878.124,870.463,870.882,850.607,912.635,927.95,895.682,940.565,958.662,1003.55,1032.68,1179.35,1174.48,1128.11,1075.05,1085.78,1072.78,1116.48,1108.96,1055.51,1013.75,1007.79,1057.56,1058.94,1061.68,1082,1100.1,1122.1,1146.36,1173.31,1203.49,1235.16,1263.67,1291.44,1318.25,1346.69,1375.38
Percentage share,4.35527,4.22891,4.14071,4.1134,3.99993,4.28221,4.43507,4.3143,4.51679,4.59586,4.77044,4.85544,5.45634,5.34396,5.07853,4.82554,4.84036,4.74754,4.86148,4.77546,4.51256,4.40135,4.40291,4.60536,4.62701,4.73334,4.83741,4.91274,4.9799,5.05971,5.15735,5.27143,5.39448,5.50633,5.61791,5.72791,5.84447,5.97095
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,148.642,159.283,171.043,171.135,158.921,176.138,102.145,66.1206,65.9743,100.066,105.878,122.253,116.005,127.715,130.656,128.577,130.927,131.463,118.842,123.83,111.851,128.187,121.879,119.4,129.791,140.839,151.902,160.248,167.564,174.271,180.372,187.525,194.199,202.153,210.429,219.121,227.939,237.173
Percentage share,2.1042,2.2304,2.36939,2.38573,2.22964,2.48711,1.45166,0.945823,0.948682,1.4465,1.53863,1.78607,1.70387,1.85083,1.9473,1.84517,1.82709,1.81475,1.60518,1.62256,1.424,1.62161,1.50198,1.43806,1.52564,1.64146,1.76157,1.84966,1.92784,1.99642,2.05751,2.13003,2.19652,2.26883,2.3436,2.42184,2.50029,2.58193
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4.86663,5.37452,15.3003,16.2125,20.2504,17.0465,18.6867,15.5426,13.287,15.5494,10.2694,15.31,23.4464,20.4774,19.5855,19.4282,22.2129,23.753,39.4661,30.0486,29.0832,24.8283,18.9717,37.1336,31.9043,31.1673,28.17,26.943,25.3078,25.5746,25.9002,26.2999,26.752,26.9926,27.1942,27.509,27.7598,27.8772
Percentage share,0.787295,0.856211,0.875303,0.924317,1.10297,1.01407,1.13597,0.94714,0.804782,0.920628,0.602309,0.867912,1.32615,1.14559,1.08362,1.00612,1.11566,1.14362,1.88292,1.39566,1.33165,1.12041,0.845592,1.63031,1.39539,1.337,1.19635,1.13289,1.0536,1.05417,1.05702,1.0627,1.07027,1.0692,1.06652,1.06819,1.06725,1.06116
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0.07,0.330711,0.749228,2.15588,3.18329,4.80366,9.88577,6.20281,17.0295,18.5714,16.2283,13.3124,15.8202,15.8905,17.9515,19.0178,20.7194,23.6483,25.8726,24.3637,26.3588,25.627,24.857,27.108,25.4012,26.3045,28.0212,28.0708,28.593,29.225,29.8235,30.3247,30.6482,31.1067,31.6275,32.1248,32.5364,33.1384
Percentage share,0,0.02,0.05,0.152504,0.246004,0.398644,0.912813,0.593003,1.67284,1.79088,1.64654,1.3717,1.67645,1.65642,1.82,1.8888,2.03535,2.28757,2.38002,2.304,2.49864,2.82081,2.92203,3.14633,2.90092,2.94275,3.14022,3.134,3.16411,3.24192,3.30913,3.35931,3.42456,3.49567,3.57481,3.65235,3.72117,3.81259
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,15.2406,15.3182,15.4792,15.1528,14.6475,41.7121,35.6225,27.1694,30.4396,33.721,41.8915,47.2563,36.8464,35.4147,32.6607,33.9081,34.9749,35.1381,33.9381,32.7688,26.536,28.6322,21.0034,23.0237,22.2806,23.2288,24.9211,24.5058,25.0837,25.1611,25.0838,25.0342,24.8502,25.0542,25.353,25.8195,26.3368,27.2852
Percentage share,0.802454,0.800824,0.812478,0.799855,0.789623,2.34601,2.15112,1.65264,1.83481,2.02043,2.67165,3.2434,2.63565,2.61943,2.32295,2.35801,2.43558,2.38386,2.26405,2.13617,1.74579,2.02204,1.68297,1.83602,1.74613,1.7965,1.89066,1.82071,1.83647,1.82727,1.8155,1.80668,1.79677,1.81931,1.85719,1.90532,1.96525,2.05422
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4.44942,4.15153,4.23536,4.13065,3.97294,4.33045,4.51893,4.44255,4.55925,5.57266,5.69908,5.56541,5.76852,5.37625,4.21279,4.20953,4.8047,4.9169,5.53748,5.61029,5.99152,6.29693,5.73819,5.78846,5.61536,5.77411,5.68804,5.88563,6.1264,6.31341,6.53706,6.73635,6.9285,7.12541,7.321,7.63244,7.89939,8.12599
Percentage share,2.83668,2.60502,2.60053,2.48797,2.3505,2.59623,2.71398,2.64202,2.68806,3.24961,3.25059,3.10119,3.11953,2.82209,2.1775,2.15297,2.43401,2.48137,2.74162,2.71575,2.81891,2.92937,2.62814,2.5818,2.44508,2.46753,2.37872,2.43064,2.49392,2.53404,2.58973,2.63751,2.68367,2.73244,2.78713,2.88667,2.9682,3.04305
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4.2131,2.63103,2.70923,2.17394,3.12842,2.82939,2.28259,1.98701,2.73405,2.61668,3.04048,5.12229,7.71939,5.82055,5.5064,6.03871,5.48121,5.97882,6.75366,7.14538,7.31274,7.14178,6.44696,6.98514,7.25177,8.30058,8.7903,8.54371,8.71728,8.95202,9.09113,9.21528,9.27281,9.3565,9.40677,9.46627,9.53193,9.60269
Percentage share,0.603776,0.508904,0.534364,0.464516,0.701439,0.672065,0.576411,0.556586,0.508188,0.51107,0.563053,0.93987,1.40353,0.971711,0.981533,1.10802,1.04803,1.09703,1.18485,1.21108,1.20078,1.13362,1.0105,1.08297,1.11394,1.22247,1.25337,1.21345,1.23648,1.26915,1.28968,1.3098,1.32433,1.34382,1.3587,1.3751,1.39258,1.41097
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,22.5806,21.5125,25.4191,25.42,25.1126,29.2176,27.9098,23.5942,22.9306,23.7719,23.3116,23.894,21.9999,22.6324,22.6371,21.4585,21.0608,20.3631,20.597,22.1091,22.7457,20.4268,22.0065,24.5077,25.7344,26.331,28.1107,28.717,29.8045,30.5581,31.2479,31.8492,32.4855,33.1749,33.9425,34.7976,35.6397,36.5488
Percentage share,18.4248,17.3516,20.2147,20.0179,19.726,22.9176,21.7702,17.8733,16.9163,17.3114,17.2087,17.4337,15.3631,15.344,15.3394,14.5186,14.2423,13.6322,13.6246,14.2295,14.3438,12.8088,13.5321,14.7127,15.1112,15.0794,15.9985,16.3028,16.8862,17.2762,17.6319,17.9565,18.3032,18.6945,19.1355,19.5996,20.0731,20.6208
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,26.2063,28.8259,32.0505,38.6447,46.0578,26.1641,2.83476,16.9649,24.9599,22.4995,34.6037,29.2915,29.7648,25.9862,27.3198,24.4939,23.1995,22.9415,21.9076,15.3789,9.96995,11.2626,7.68029,7.86621,8.04819,8.47108,8.89156,8.97148,9.10912,9.4719,9.35323,9.15902,8.7808,8.53252,8.29104,8.05286,7.79456,7.58906
Percentage share,1.25637,1.37857,1.54758,1.86689,2.24672,1.55001,0.168635,1.01404,1.50361,1.36692,2.10741,1.96061,1.96468,1.73357,1.81527,1.80634,1.76288,1.73931,1.74285,1.23327,0.796959,0.951232,0.671941,0.670606,0.701673,0.722172,0.742972,0.757214,0.776598,0.815685,0.8136,0.804751,0.779318,0.757282,0.73585,0.714711,0.691786,0.673548
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,17.319,18.2413,18.7799,15.0045,11.3273,11.2696,6.66921,8.27559,9.15355,9.52368,10.3356,7.15844,6.94054,7.17543,9.0219,9.71585,9.1846,10.0213,12.1201,15.4135,15.7379,12.5616,11.495,12.2245,13.0705,14.237,14.9429,15.7103,16.4636,17.4705,18.7473,19.7165,20.6841,21.5728,22.4151,23.2048,24.0452,25.1646
Percentage share,9.99712,10.5004,11.0796,9.67411,7.55155,7.61974,4.48199,5.622,6.22691,6.60449,7.21763,5.06613,4.86373,4.97948,6.27654,6.80954,6.40086,6.94188,8.03718,9.85456,9.46811,7.21308,7.10709,7.49559,7.99837,8.46103,8.63867,8.91295,9.11025,9.51728,10.113,10.5712,11.0488,11.5024,11.9439,12.3667,12.8232,13.449
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,320.871,343.187,356.957,364.103,370.684,390.608,395.803,393.901,441.999,532.095,549.886,569.436,563.336,558.166,535.866,562.833,565.855,549.94,550.843,542.879,522.028,458.42,463.49,455.006,455.072,441.952,454.211,455.018,466.153,476.48,487.635,495.489,505.942,509.281,511.926,509.377,506.866,505.26
Percentage share,5.94006,6.18704,6.2469,6.25245,6.2835,6.6031,6.6487,6.47113,7.09729,8.27614,8.33303,8.40897,8.14599,7.94966,7.61605,8.07189,8.1503,7.89094,7.76711,7.42728,6.95574,6.13703,6.27335,6.15726,6.15732,6.06493,6.29229,6.26463,6.3709,6.47326,6.58969,6.66148,6.73896,6.7077,6.67138,6.59076,6.53476,6.47739
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,100.281,118.987,108.114,118.806,115.42,121.962,132.947,133.494,150.275,158.019,156.106,166.801,168.981,161.309,151.822,143.406,130.737,132.199,132.485,140.544,146.433,142.998,140.987,146.623,137.147,130.887,132.817,133.96,135.024,133.986,133.05,132.301,132.796,133.034,133.25,133.486,133.732,133.896
Percentage share,4.74478,5.81006,5.3282,5.91429,5.76044,6.08481,6.53248,6.41906,7.04793,7.19816,6.94153,7.38223,7.44584,7.08163,6.6415,6.32211,5.74579,5.77634,5.60803,5.75194,5.80173,5.70158,5.62028,5.76568,5.29271,5.01534,5.04539,5.0996,5.13743,5.07667,5.0204,4.97579,4.97848,4.97024,4.96045,4.95065,4.94001,4.92546
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,151.493,178.579,217.448,368.99,439.914,494.296,576.6,442.798,489.449,520.635,466.287,390.162,381.619,296.728,274.925,247.224,265.045,260.123,271.918,301.863,279.295,284.776,272.855,276.439,285.71,286.517,273.263,281.884,291.388,295.532,303.749,312.771,318.119,324.933,332.381,340.766,350.116,358.328
Percentage share,0.881703,1.03457,1.30779,2.3512,2.90982,3.32784,3.94465,2.9957,3.2766,3.42802,3.0339,2.62581,2.62803,2.09054,1.99933,1.81674,1.92792,1.85171,1.87171,1.99095,1.77582,1.80486,1.7734,1.78828,1.84676,1.85226,1.73916,1.77404,1.8175,1.83014,1.87209,1.92202,1.95871,2.0088,2.06175,2.11843,2.17951,2.23383
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,524.955,426.123,374.21,371.805,303.198,310.749,283.878,264.967,253.196,272.785,313.977,297.495,335.108,341.74,328.042,315.47,310.295,310.567,310.453,317.968,317.369,308.497,315.712,318.549,317.05,308.827,336.827,350.505,360.768,369.922,377.701,383.209,388.68,394.994,402.494,410.68,415.121,419.993
Percentage share,12.2105,9.69562,8.32319,8.02892,6.98501,7.30284,6.67712,6.27119,5.95686,6.29723,6.47592,6.03956,6.64722,6.664,6.37739,6.19363,6.1295,6.15309,6.11243,6.24385,6.20272,6.20888,6.44517,6.72031,6.97293,6.97224,7.44881,7.59687,7.75008,7.91513,8.07256,8.19525,8.32541,8.47944,8.66546,8.8677,8.99176,9.12696
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,337.744,307.894,278.027,284.683,311.35,235.575,291.947,346.095,304.595,296.508,190.287,171.513,183.686,172.708,181.678,204.531,223.764,286.251,222.992,220.508,220.536,208.441,200.19,196.291,194.286,196.837,204.858,206.165,206.775,207.053,207.808,208.65,209.3,209.821,210.856,209.95,208.945,206.857
Percentage share,0,0,0,2.58195,2.96878,2.29098,2.91877,3.46556,3.17404,3.21379,2.12299,1.98188,2.15796,1.98143,2.17221,2.4472,2.68564,3.45049,2.63617,2.57868,2.52152,2.4467,2.38444,2.29453,2.30363,2.29348,2.41124,2.43236,2.44518,2.45651,2.47173,2.48666,2.50056,2.51339,2.53042,2.52379,2.51605,2.49588
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,87.8643,100.181,172.916,205.936,796.737,1881.99,999.587,867.264,1024.52,995.806,1020.49,999.208,974.615,1036.94,995.099,943.322,965.618,966.346,940.255,949.626,945.192,1012.72,946.607,925.198,934.172,976.578,982.253,974.543,980.349,986.483,989.353,995.348,997.048,1000.44,1002.54,1007.85,1016.64,1024.18
Percentage share,0.125171,0.141717,0.238399,0.279868,1.10941,2.66462,1.464,1.30923,1.55269,1.52244,1.6035,1.58941,1.49826,1.5908,1.4919,1.42191,1.43373,1.41434,1.35875,1.34223,1.33188,1.45768,1.35342,1.3057,1.30577,1.36792,1.37748,1.39443,1.41736,1.42966,1.43568,1.44946,1.4632,1.47658,1.4881,1.50351,1.52525,1.5431
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,71.5304,67.1353,70.3066,74.5228,65.0269,58.5901,76.2107,56.9743,24.9781,25.148,29.3982,22.8168,48.4244,32.812,27.9984,25.6843,26.7594,30.0187,29.1113,36.9274,39.4004,32.5314,31.9624,32.4639,33.6679,34.6582,35.2127,35.5643,36.0711,37.3132,38.1328,38.9838,39.4818,40.1375,40.7445,41.3302,41.8841,42.2693
Percentage share,3.94618,3.68032,3.83178,4.06593,3.55542,3.18653,4.12338,3.12522,1.37769,1.31058,1.53363,1.30338,2.77424,1.87259,1.66972,1.59369,1.69348,1.94111,1.97801,2.5772,2.75824,2.32901,2.35948,2.41746,2.51045,2.55616,2.57006,2.59624,2.63345,2.72686,2.79235,2.86038,2.90271,2.96875,3.03023,3.08831,3.14452,3.18857
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
